source,target,type,name,node_lat,node_lon,node_tg_lat,node_tg_lon,node_type,node_tg_type,distance,type_num,node_type_num,node_tg_type_num
91.0,12188.0,crosslayer,None,2.358337,48.873732,2.357339,48.880804,road,crosslayer,0.7935029133878104,4,1,4
92.0,870.0,road,None,2.3195,48.864299,2.319254,48.864923,road,road,0.0745299937454153,1,1,1
92.0,1271.0,road,None,2.3195,48.864299,2.318228,48.864755,road,road,0.1502399252797544,1,1,1
92.0,11959.0,crosslayer,None,2.3195,48.864299,2.322138,48.866408,road,crosslayer,0.3754312103960165,4,1,4
92.0,11961.0,crosslayer,None,2.3195,48.864299,2.314674,48.862757,road,crosslayer,0.5633112747499214,4,1,4
92.0,12165.0,crosslayer,None,2.3195,48.864299,2.326128,48.860522,road,crosslayer,0.8480950068138449,4,1,4
92.0,11961.0,crosslayer,None,2.3195,48.864299,2.314674,48.862757,road,crosslayer,0.5633112747499214,4,1,4
93.0,1270.0,road,N34,2.564361,48.865499,2.56736,48.865856,road,road,0.3358233060414504,1,1,1
93.0,10910.0,road,N302,2.564361,48.865499,2.552137,48.874339,road,road,1.676855208882711,1,1,1
94.0,8416.0,road,A4,2.795482,48.83349,2.819034,48.839499,road,road,2.702558717730021,1,1,1
94.0,3980.0,road,D231,2.795482,48.83349,2.794985,48.83379,road,road,0.0645309065907765,1,1,1
95.0,2053.0,road,None,2.513589,48.997322,2.514475,49.000522,road,road,0.3688805788120582,1,1,1
96.0,11117.0,road,None,1.700878,48.826685,1.702398,48.830286,road,road,0.4344601757845227,1,1,1
97.0,695.0,road,D140,2.89374,48.998279,2.906305,49.010995,road,road,1.986509074632692,1,1,1
98.0,9315.0,road,D44E3,2.419395,48.996989,2.41429,48.999068,road,road,0.6128402230344556,1,1,1
98.0,9315.0,road,D370,2.419395,48.996989,2.41429,48.999068,road,road,0.6128402230344556,1,1,1
98.0,12148.0,crosslayer,None,2.419395,48.996989,2.416153,48.993378,road,crosslayer,0.5393433079746338,4,1,4
99.0,7219.0,road,A3,2.51739,48.997427,2.52272,49.003833,road,road,0.926103555460486,1,1,1
100.0,9842.0,road,D392,2.181981,48.995659,2.182145,49.000826,road,road,0.574417116214968,1,1,1
100.0,4457.0,road,A15,2.181981,48.995659,2.157175,49.009426,road,road,3.1540893087437656,1,1,1
101.0,3570.0,road,D97,2.793153,48.998291,2.829697,49.003735,road,road,4.108242151101887,1,1,1
101.0,919.0,road,D27,2.793153,48.998291,2.790921,49.000936,road,road,0.3845680859295223,1,1,1
102.0,5380.0,road,N13,2.082315,48.89342,2.082199,48.89372,road,road,0.0357448339646305,1,1,1
103.0,4407.0,road,D130,1.808823,48.992616,1.825367,49.018269,road,road,3.3930283663762686,1,1,1
104.0,5942.0,road,D113,1.731323,48.976357,1.722503,48.977527,road,road,0.9893228075420224,1,1,1
105.0,1826.0,road,D139,2.621045,48.982373,2.620438,48.98372,road,road,0.1641421128881416,1,1,1
106.0,736.0,road,D370,2.443618,48.981686,2.44036,48.984157,road,road,0.4545318959476914,1,1,1
107.0,2889.0,road,D113,1.994348,48.377358,1.988333,48.388945,road,road,1.450983798059263,1,1,1
107.0,1124.0,road,D160,1.994348,48.377358,2.015082,48.385292,road,road,2.468352258383442,1,1,1
108.0,2198.0,road,None,2.288164,48.980824,2.281597,48.98163,road,road,0.7356877895021738,1,1,1
108.0,1494.0,road,None,2.288164,48.980824,2.279127,48.991318,road,road,1.539222797125046,1,1,1
109.0,10986.0,road,D838,1.978298,48.37714,1.973745,48.391379,road,road,1.6613797311905671,1,1,1
110.0,5810.0,road,None,2.773369,49.018676,2.768725,49.018784,road,road,0.5165285343174976,1,1,1
111.0,2513.0,road,N20,1.992802,48.308427,1.996842,48.317297,road,road,1.0832415989917707,1,1,1
111.0,10470.0,road,D603,1.992802,48.308427,1.996165,48.309382,road,road,0.3887163641392011,1,1,1
112.0,4752.0,road,None,1.909384,49.013999,1.919591,49.024541,road,road,1.6311677133115674,1,1,1
112.0,1181.0,road,D28,1.909384,49.013999,1.92852,49.028906,road,road,2.6966912590311494,1,1,1
113.0,9198.0,road,None,1.636092,49.011155,1.688821,49.040826,road,road,6.727040024044464,1,1,1
113.0,7321.0,road,D148,1.636092,49.011155,1.697032,49.019243,road,road,6.8355890813569085,1,1,1
114.0,6602.0,road,D906,2.101381,48.703633,2.08918,48.705969,road,road,1.381298819593977,1,1,1
114.0,9240.0,road,D306,2.101381,48.703633,2.121993,48.705099,road,road,2.297731657401262,1,1,1
114.0,12013.0,crosslayer,None,2.101381,48.703633,2.09906,48.700897,road,crosslayer,0.3987959714241944,4,1,4
115.0,10746.0,road,None,2.475978,48.287511,2.473871,48.305856,road,road,2.0513909898943945,1,1,1
116.0,2973.0,road,None,2.526171,48.978304,2.5256,48.983738,road,road,0.6069760839757331,1,1,1
117.0,11205.0,road,D56,2.29389,48.51546,2.294969,48.518876,road,road,0.3980497915502489,1,1,1
117.0,8303.0,road,D99,2.29389,48.51546,2.306812,48.516184,road,road,1.4391107371015397,1,1,1
117.0,2444.0,road,D99,2.29389,48.51546,2.288545,48.51622,road,road,0.6003053743181852,1,1,1
118.0,2828.0,road,D82,2.124701,48.514281,2.126999,48.514869,road,road,0.263747058859115,1,1,1
118.0,11605.0,road,D148,2.124701,48.514281,2.123415,48.514455,road,road,0.14429787567082,1,1,1
119.0,8787.0,road,D35,2.664748,48.626681,2.66305,48.630724,road,road,0.4871523728388607,1,1,1
120.0,3604.0,road,D57,2.574257,48.626185,2.573585,48.627402,road,road,0.1544643625580715,1,1,1
120.0,12149.0,crosslayer,None,2.574257,48.626185,2.569571,48.628246,road,crosslayer,0.5691373445343504,4,1,4
121.0,11504.0,road,D31,2.39106,48.625547,2.388392,48.625542,road,road,0.2966685843471996,1,1,1
121.0,4165.0,road,D31,2.39106,48.625547,2.39448,48.637852,road,road,1.4189688583516462,1,1,1
122.0,4011.0,road,D445,2.354171,48.625173,2.354438,48.626209,road,road,0.1188680447536439,1,1,1
123.0,6841.0,road,None,2.515321,48.992711,2.517108,48.993006,road,road,0.2013895232297522,1,1,1
124.0,10449.0,road,None,2.063807,49.032352,2.062022,49.034101,road,road,0.2777929293619001,1,1,1
124.0,6228.0,road,None,2.063807,49.032352,2.06667,49.033665,road,road,0.3501933957998576,1,1,1
125.0,6229.0,road,None,2.795935,49.035711,2.796484,49.037075,road,road,0.1633267367819837,1,1,1
125.0,1266.0,road,D9,2.795935,49.035711,2.799244,49.036517,road,road,0.3786765950562331,1,1,1
126.0,2067.0,road,N184,2.108878,49.032763,2.120683,49.036658,road,road,1.3821685538988449,1,1,1
